Section:	Identifiers		Taxon / Identification			Location									Record-level: Sample	
"Description of each field:



"	"A unique identifier given to the entry in this 
metadata project.

Type: Text







Comment(s): Look up your ID in the linked 
spreadsheet. This term is not Darwin Core."	"A unique identifier given to the sample.

Type: Text






Comment(s): Recommended best 
practice is to use a persistent, 
globally unique identifier. This term 
is not Darwin Core."	"The full scientific name, this should be the 
name in the lowest level taxonomic rank 
that can be determined. This term should 
not contain identification qualifications, 
which should instead be supplied in the 
dwc:identificationRemarks.

Type: Text

Comment(s): Names should be compliant to 
the most recent nomenclatural code. Thus, 
use the multiplication sign _ to identify a 
hybrid, not x or X, if possible."	"An identifier for the nomenclatural (not taxonomic) 
details of a scientific name.

Type: Text








Comment(s): GBIF or WORMS link."	"Comments or notes about the dwc:Identification.

Type: Text








Comment(s): Such as method of identification, 
identification confidence, etc."	"A spatial region or named place.

Type: Text









Comment(s):"	"A list (concatenated and separated) 
of geographic names less specific 
than the information captured in the 
dcterms:Location term.

Type: Text


Comment(s): Recommended best 
practice is to separate the values in 
a list with space vertical bar space 
( | ), with terms in order from least 
specific to most specific."	"The standard code for the country in which the 
dcterms:Location occurs.

Type: Text




Comment(s): Recommended best practice is to use 
an ISO 3166-1-alpha-2 country code, or ""ZZ"" (for an 
unknown location or a location unassignable to a 
single country code), or ""XY"" (for the high seas 
beyond national jurisdication)."	"The geographic latitude (in decimal degrees, 
using the spatial reference system given in 
dwc:geodeticDatum) of the geographic 
center of a dcterms:Location. Positive values 
are north of the Equator, negative values are 
south of it. Legal values lie between -90 and 
90, inclusive.

Type: Decimal



Comment(s): "	"The geographic longitude (in decimal degrees, 
using the spatial reference system given in 
dwc:geodeticDatum) of the geographic center 
of a dcterms:Location. Positive values are 
east of the Greenwich Meridian, negative 
values are west of it. Legal values lie between 
-180 and 180, inclusive.

Type: Decimal



Comment(s): "	"The ellipsoid, geodetic datum, or spatial 
reference system (SRS) upon which the 
geographic coordinates given in 
dwc:decimalLatitude and 
dwc:decimalLongitude are based.

Type: Text



Comment(s): Most devices collect WGS84, 
but please indicate if you use a different 
system. If unknown, use the value ""unknown"". "	"The horizontal distance (in meters) from the given 
dwc:decimalLatitude and dwc:decimalLongitude describing 
the smallest circle containing the whole of the 
dcterms:Location. Leave the value empty if the uncertainty 
is unknown, cannot be estimated, or is not applicable 
(because there are no coordinates). Zero is not a valid 
value for this term.

Type: Decimal



Comment(s):"	"The original description of the depth below 
the local surface.

Type: Text








Comment(s): "	"Comments or notes about the 
dcterms:Location.

Type: Text








Comment(s): "	"The date-time or interval during which 
this data was recorded. 


Type: DateTime





Comment(s): Recommended best 
practice is to use a date that 
conforms to ISO 8601-1:2019."	"Comments or notes about the sample data.

Type: Text









Comment(s): This term is not Darwin Core."
Controlled vocabulary:	https://docs.google.com/spreadsheets/d/1HEUQKbBVo8bhT4gF269A8Yz7Jq3OBOHwxYzcRB1fYWs/edit?gid=0#gid=0			"https://www.gbif.org/species/search?q=  
https://www.marinespecies.org/aphia.php?p=search  "				https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2#US			"""WGS84"": A global datum widely used for 
                 GPS and other navigation systems. 
""NAD83"": A datum used in North America. 
""NAVD88"": A vertical datum used in North 
                  America for measuring heights."				https://en.wikipedia.org/wiki/ISO_8601	
Relevent link(s):			http://rs.tdwg.org/dwc/terms/scientificName	http://rs.tdwg.org/dwc/terms/scientificNameID	http://rs.tdwg.org/dwc/terms/identificationRemarks	http://purl.org/dc/terms/Location	http://rs.tdwg.org/dwc/terms/locality	http://rs.tdwg.org/dwc/terms/countryCode	http://rs.tdwg.org/dwc/terms/decimalLatitude 	http://rs.tdwg.org/dwc/terms/decimalLongitude	http://rs.tdwg.org/dwc/terms/geodeticDatum	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	http://rs.tdwg.org/dwc/terms/verbatimDepth	http://rs.tdwg.org/dwc/terms/locationRemarks 	http://rs.tdwg.org/dwc/terms/eventDate 	
Required?	REQUIRED	REQUIRED	REQUIRED	REQUIRED		REQUIRED	REQUIRED	REQUIRED	REQUIRED	REQUIRED	REQUIRED				REQUIRED	
Field name:	RepAdaptID	sampleID	scientificName	scientificNameID	identificationRemarks	Location	locality	countryCode	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimDepth	locationRemarks	eventDate	generalRemarks
YOUR DATA HERE:	rawg0003	Albuquerque_1_9	Trifolium repens	urn:lsid:ipni.org:names:523626-1Ê		Albuquerque	1	USA	35.083	-106.615	WGS84			urban	2017/2019	
YOUR DATA HERE:	rawg0003	Albuquerque_1_13	Trifolium repens	urn:lsid:ipni.org:names:523626-1Ê		Albuquerque	1	USA	35.083	-106.615	WGS84			urban	2017/2019	
YOUR DATA HERE:	rawg0003	Albuquerque_1_10	Trifolium repens	urn:lsid:ipni.org:names:523626-1Ê		Albuquerque	1	USA	35.083	-106.615	WGS84			urban	2017/2019	
YOUR DATA HERE:	rawg0003	Albuquerque_1_19	Trifolium repens	urn:lsid:ipni.org:names:523626-1Ê		Albuquerque	1	USA	35.083	-106.615	WGS84			urban	2017/2019	
YOUR DATA HERE:	rawg0003	Albuquerque_1_3	Trifolium repens	urn:lsid:ipni.org:names:523626-1Ê		Albuquerque	1	USA	35.083	-106.615	WGS84			urban	2017/2019	
